Vertragsnummer,Vertragsbeginn,Vertragsende,Vertragsstatus
374,2021-01-09,2022-01-09,gekündigt
375,2021-01-10,,aktiv
376,2021-01-11,2022-01-11,abgelaufen
377,2021-01-12,2022-01-12,gekündigt
378,2021-01-13,,aktiv
379,2021-01-14,2022-01-14,abgelaufen
380,2021-01-15,2022-01-15,gekündigt
381,2021-01-16,,aktiv
382,2021-01-17,2022-01-17,abgelaufen
383,2021-01-18,2022-01-18,gekündigt
384,2021-01-19,,aktiv
385,2021-01-20,2022-01-20,abgelaufen
386,2021-01-21,2022-01-21,gekündigt
387,2021-01-22,,aktiv
388,2021-01-23,2022-01-23,abgelaufen
389,2021-01-24,2022-01-24,gekündigt
390,2021-01-25,,aktiv
391,2021-01-26,2022-01-26,abgelaufen
392,2021-01-27,2022-01-27,gekündigt
393,2021-01-28,,aktiv
394,2021-01-29,2022-01-29,abgelaufen
395,2021-01-30,2022-01-30,gekündigt
396,2021-01-31,,aktiv
397,2021-02-01,2022-02-01,abgelaufen
398,2021-02-02,2022-02-02,gekündigt
399,2021-02-03,,aktiv
400,2021-02-04,2022-02-04,abgelaufen
401,2021-02-05,2022-02-05,gekündigt
402,2021-02-06,,aktiv
403,2021-02-07,2022-02-07,abgelaufen
404,2021-02-08,2022-02-08,gekündigt
405,2021-02-09,,aktiv
406,2021-02-10,2022-02-10,abgelaufen
407,2021-02-11,2022-02-11,gekündigt
408,2021-02-12,,aktiv
409,2021-02-13,2022-02-13,abgelaufen
410,2021-02-14,2022-02-14,gekündigt
411,2021-02-15,,aktiv
412,2021-02-16,2022-02-16,abgelaufen
413,2021-02-17,2022-02-17,gekündigt
414,2021-02-18,,aktiv
415,2021-02-19,2022-02-19,abgelaufen
416,2021-02-20,2022-02-20,gekündigt
417,2021-02-21,,aktiv
418,2021-02-22,2022-02-22,abgelaufen
419,2021-02-23,2022-02-23,gekündigt
420,2021-02-24,,aktiv
421,2021-02-25,2022-02-25,abgelaufen
422,2021-02-26,2022-02-26,gekündigt
423,2021-02-27,,aktiv
424,2021-02-28,2022-02-28,abgelaufen
425,2021-03-01,2022-03-01,gekündigt
426,2021-03-02,,aktiv
427,2021-03-03,2022-03-03,abgelaufen
428,2021-03-04,2022-03-04,gekündigt
429,2021-03-05,,aktiv
430,2021-03-06,2022-03-06,abgelaufen
431,2021-03-07,2022-03-07,gekündigt
432,2021-03-08,,aktiv
433,2021-03-09,2022-03-09,abgelaufen
434,2021-03-10,2022-03-10,gekündigt
435,2021-03-11,,aktiv
436,2021-03-12,2022-03-12,abgelaufen
437,2021-03-13,2022-03-13,gekündigt
438,2021-03-14,,aktiv
439,2021-03-15,2022-03-15,abgelaufen
440,2021-03-16,2022-03-16,gekündigt
441,2021-03-17,,aktiv
442,2021-03-18,2022-03-18,abgelaufen
443,2021-03-19,2022-03-19,gekündigt
444,2021-03-20,,aktiv
445,2021-03-21,2022-03-21,abgelaufen
446,2021-03-22,2022-03-22,gekündigt
447,2021-03-23,,aktiv
448,2021-03-24,2022-03-24,abgelaufen
449,2021-03-25,2022-03-25,gekündigt
450,2021-03-26,,aktiv
451,2021-03-27,2022-03-27,abgelaufen
452,2021-03-28,2022-03-28,gekündigt
453,2021-03-29,,aktiv
454,2021-03-30,2022-03-30,abgelaufen
455,2021-03-31,2022-03-31,gekündigt
456,2021-04-01,,aktiv
457,2021-04-02,2022-04-02,abgelaufen
458,2021-04-03,2022-04-03,gekündigt
459,2021-04-04,,aktiv
460,2021-04-05,2022-04-05,abgelaufen
461,2021-04-06,2022-04-06,gekündigt
462,2021-04-07,,aktiv
463,2021-04-08,2022-04-08,abgelaufen
464,2021-04-09,2022-04-09,gekündigt
465,2021-04-10,,aktiv
466,2021-04-11,2022-04-11,abgelaufen
467,2021-04-12,2022-04-12,gekündigt
468,2021-04-13,,aktiv
469,2021-04-14,2022-04-14,abgelaufen
470,2021-04-15,2022-04-15,gekündigt
471,2021-04-16,,aktiv
472,2021-04-17,2022-04-17,abgelaufen
473,2021-04-18,2022-04-18,gekündigt
474,2021-04-19,,aktiv
475,2021-04-20,2022-04-20,abgelaufen
476,2021-04-21,2022-04-21,gekündigt
477,2021-04-22,,aktiv
478,2021-04-23,2022-04-23,abgelaufen
479,2021-04-24,2022-04-24,gekündigt
480,2021-04-25,,aktiv
481,2021-04-26,2022-04-26,abgelaufen
482,2021-04-27,2022-04-27,gekündigt
483,2021-04-28,,aktiv
484,2021-04-29,2022-04-29,abgelaufen
485,2021-04-30,2022-04-30,gekündigt
486,2021-05-01,,aktiv
487,2021-05-02,2022-05-02,abgelaufen
488,2021-05-03,2022-05-03,gekündigt
489,2021-05-04,,aktiv
490,2021-05-05,2022-05-05,abgelaufen
491,2021-05-06,2022-05-06,gekündigt
492,2021-05-07,,aktiv
493,2021-05-08,2022-05-08,abgelaufen
494,2021-05-09,2022-05-09,gekündigt
495,2021-05-10,,aktiv
496,2021-05-11,2022-05-11,abgelaufen
497,2021-05-12,2022-05-12,gekündigt
498,2021-05-13,,aktiv
499,2021-05-14,2022-05-14,abgelaufen
500,2021-05-15,2022-05-15,gekündigt
501,2021-05-16,,aktiv
502,2021-05-17,2022-05-17,abgelaufen
503,2021-05-18,2022-05-18,gekündigt
504,2021-05-19,,aktiv
505,2021-05-20,2022-05-20,abgelaufen
506,2021-05-21,2022-05-21,gekündigt
507,2021-05-22,,aktiv
508,2021-05-23,2022-05-23,abgelaufen
509,2021-05-24,2022-05-24,gekündigt
510,2021-05-25,,aktiv
511,2021-05-26,2022-05-26,abgelaufen
512,2021-05-27,2022-05-27,gekündigt
513,2021-05-28,,aktiv
514,2021-05-29,2022-05-29,abgelaufen
515,2021-05-30,2022-05-30,gekündigt
516,2021-05-31,,aktiv
517,2021-06-01,2022-06-01,abgelaufen
518,2021-06-02,2022-06-02,gekündigt
519,2021-06-03,,aktiv
520,2021-06-04,2022-06-04,abgelaufen
521,2021-06-05,2022-06-05,gekündigt
522,2021-06-06,,aktiv
523,2021-06-07,2022-06-07,abgelaufen
524,2021-06-08,2022-06-08,gekündigt
525,2021-06-09,,aktiv
526,2021-06-10,2022-06-10,abgelaufen
527,2021-06-11,2022-06-11,gekündigt
528,2021-06-12,,aktiv
529,2021-06-13,2022-06-13,abgelaufen
530,2021-06-14,2022-06-14,gekündigt
531,2021-06-15,,aktiv
532,2021-06-16,2022-06-16,abgelaufen
533,2021-06-17,2022-06-17,gekündigt
534,2021-06-18,,aktiv
535,2021-06-19,2022-06-19,abgelaufen
536,2021-06-20,2022-06-20,gekündigt
537,2021-06-21,,aktiv
538,2021-06-22,2022-06-22,abgelaufen
539,2021-06-23,2022-06-23,gekündigt
540,2021-06-24,,aktiv
541,2021-06-25,2022-06-25,abgelaufen
542,2021-06-26,2022-06-26,gekündigt
543,2021-06-27,,aktiv
544,2021-06-28,2022-06-28,abgelaufen
545,2021-06-29,2022-06-29,gekündigt
546,2021-06-30,,aktiv
547,2021-07-01,2022-07-01,abgelaufen
548,2021-07-02,2022-07-02,gekündigt
549,2021-07-03,,aktiv
550,2021-07-04,2022-07-04,abgelaufen
551,2021-07-05,2022-07-05,gekündigt
552,2021-07-06,,aktiv
553,2021-07-07,2022-07-07,abgelaufen
554,2021-07-08,2022-07-08,gekündigt
555,2021-07-09,,aktiv
556,2021-07-10,2022-07-10,abgelaufen
557,2021-07-11,2022-07-11,gekündigt
558,2021-07-12,,aktiv
559,2021-07-13,2022-07-13,abgelaufen
560,2021-07-14,2022-07-14,gekündigt
561,2021-07-15,,aktiv
562,2021-07-16,2022-07-16,abgelaufen
563,2021-07-17,2022-07-17,gekündigt
564,2021-07-18,,aktiv
565,2021-07-19,2022-07-19,abgelaufen
566,2021-07-20,2022-07-20,gekündigt
567,2021-07-21,,aktiv
568,2021-07-22,2022-07-22,abgelaufen
569,2021-07-23,2022-07-23,gekündigt
570,2021-07-24,,aktiv
571,2021-07-25,2022-07-25,abgelaufen
572,2021-07-26,2022-07-26,gekündigt
573,2021-07-27,,aktiv
574,2021-07-28,2022-07-28,abgelaufen
575,2021-07-29,2022-07-29,gekündigt
576,2021-07-30,,aktiv
577,2021-07-31,2022-07-31,abgelaufen
578,2021-08-01,2022-08-01,gekündigt
579,2021-08-02,,aktiv
580,2021-08-03,2022-08-03,abgelaufen
581,2021-08-04,2022-08-04,gekündigt
582,2021-08-05,,aktiv
583,2021-08-06,2022-08-06,abgelaufen
584,2021-08-07,2022-08-07,gekündigt
585,2021-08-08,,aktiv
586,2021-08-09,2022-08-09,abgelaufen
587,2021-08-10,2022-08-10,gekündigt
588,2021-08-11,,aktiv
589,2021-08-12,2022-08-12,abgelaufen
590,2021-08-13,2022-08-13,gekündigt
591,2021-08-14,,aktiv
592,2021-08-15,2022-08-15,abgelaufen
593,2021-08-16,2022-08-16,gekündigt
594,2021-08-17,,aktiv
595,2021-08-18,2022-08-18,abgelaufen
596,2021-08-19,2022-08-19,gekündigt
597,2021-08-20,,aktiv
598,2021-08-21,2022-08-21,abgelaufen
599,2021-08-22,2022-08-22,gekündigt
600,2021-08-23,,aktiv
601,2021-08-24,2022-08-24,abgelaufen
602,2021-08-25,2022-08-25,gekündigt
603,2021-08-26,,aktiv
604,2021-08-27,2022-08-27,abgelaufen
605,2021-08-28,2022-08-28,gekündigt
606,2021-08-29,,aktiv
607,2021-08-30,2022-08-30,abgelaufen
608,2021-08-31,2022-08-31,gekündigt
609,2021-09-01,,aktiv
610,2021-09-02,2022-09-02,abgelaufen
611,2021-09-03,2022-09-03,gekündigt
612,2021-09-04,,aktiv
613,2021-09-05,2022-09-05,abgelaufen
614,2021-09-06,2022-09-06,gekündigt
615,2021-09-07,,aktiv
616,2021-09-08,2022-09-08,abgelaufen
617,2021-09-09,2022-09-09,gekündigt
618,2021-09-10,,aktiv
619,2021-09-11,2022-09-11,abgelaufen
620,2021-09-12,2022-09-12,gekündigt
621,2021-09-13,,aktiv
622,2021-09-14,2022-09-14,abgelaufen
623,2021-09-15,2022-09-15,gekündigt
624,2021-09-16,,aktiv
625,2021-09-17,2022-09-17,abgelaufen
626,2021-09-18,2022-09-18,gekündigt
627,2021-09-19,,aktiv
628,2021-09-20,2022-09-20,abgelaufen
629,2021-09-21,2022-09-21,gekündigt
630,2021-09-22,,aktiv
631,2021-09-23,2022-09-23,abgelaufen
632,2021-09-24,2022-09-24,gekündigt
633,2021-09-25,,aktiv
634,2021-09-26,2022-09-26,abgelaufen
635,2021-09-27,2022-09-27,gekündigt
636,2021-09-28,,aktiv
637,2021-09-29,2022-09-29,abgelaufen
638,2021-09-30,2022-09-30,gekündigt
639,2021-10-01,,aktiv
640,2021-10-02,2022-10-02,abgelaufen
641,2021-10-03,2022-10-03,gekündigt
642,2021-10-04,,aktiv
643,2021-10-05,2022-10-05,abgelaufen
644,2021-10-06,2022-10-06,gekündigt
645,2021-10-07,,aktiv
646,2021-10-08,2022-10-08,abgelaufen
647,2021-10-09,2022-10-09,gekündigt
648,2021-10-10,,aktiv
649,2021-10-11,2022-10-11,abgelaufen
650,2021-10-12,2022-10-12,gekündigt
651,2021-10-13,,aktiv
652,2021-10-14,2022-10-14,abgelaufen
653,2021-10-15,2022-10-15,gekündigt
654,2021-10-16,,aktiv
655,2021-10-17,2022-10-17,abgelaufen
656,2021-10-18,2022-10-18,gekündigt
657,2021-10-19,,aktiv
658,2021-10-20,2022-10-20,abgelaufen
659,2021-10-21,2022-10-21,gekündigt
660,2021-10-22,,aktiv
661,2021-10-23,2022-10-23,abgelaufen
662,2021-10-24,2022-10-24,gekündigt
663,2021-10-25,,aktiv
664,2021-10-26,2022-10-26,abgelaufen
665,2021-10-27,2022-10-27,gekündigt
666,2021-10-28,,aktiv
667,2021-10-29,2022-10-29,abgelaufen
668,2021-10-30,2022-10-30,gekündigt
669,2021-10-31,,aktiv
670,2021-11-01,2022-11-01,abgelaufen
671,2021-11-02,2022-11-02,gekündigt
672,2021-11-03,,aktiv
673,2021-11-04,2022-11-04,abgelaufen
674,2021-11-05,2022-11-05,gekündigt
675,2021-11-06,,aktiv
676,2021-11-07,2022-11-07,abgelaufen
677,2021-11-08,2022-11-08,gekündigt
678,2021-11-09,,aktiv
679,2021-11-10,2022-11-10,abgelaufen
680,2021-11-11,2022-11-11,gekündigt
681,2021-11-12,,aktiv
682,2021-11-13,2022-11-13,abgelaufen
683,2021-11-14,2022-11-14,gekündigt
684,2021-11-15,,aktiv
685,2021-11-16,2022-11-16,abgelaufen
686,2021-11-17,2022-11-17,gekündigt
687,2021-11-18,,aktiv
688,2021-11-19,2022-11-19,abgelaufen
689,2021-11-20,2022-11-20,gekündigt
690,2021-11-21,,aktiv
691,2021-11-22,2022-11-22,abgelaufen
692,2021-11-23,2022-11-23,gekündigt
693,2021-11-24,,aktiv
694,2021-11-25,2022-11-25,abgelaufen
695,2021-11-26,2022-11-26,gekündigt
696,2021-11-27,,aktiv
